screen_id,file_name,category,profile,expected_result,expected_binary_result,final_status,applied_rule,diff_roi_count,pass_roi_count,fail_roi_count,total_diff_area_ratio,overall_ssim,minimum_roi_ssim,confirmed_missing_text_count,bidirectional_text_presence_count,high_confidence_text_mismatch_count,high_confidence_spacing_mismatch_count,matched_text_brightness_loss,localized_text_brightness_loss,progress_bar_fill_delta,gradient_smooth_color_area_delta,gradient_color_histogram_distance,chromatic_color_area_ratio,card_top_color_area_ratio,largest_roi_area_ratio,largest_roi_ssim,memo,final_reasons
15-63,15-63.png,guide_image,guide_image_profile,FAIL,FAIL,FAIL,guide_image_large_difference,6,6,0,0.090975,0.834099,0.069091,0,0,2,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.039199,0.404431,좌측 그림이 아예 다름,"안내 그림의 넓은 영역에서 구조 차이가 검출됨: area=0.090975, roi_count=6"
15-64,15-64.png,guide_image,guide_image_profile,FAIL,FAIL,FAIL,guide_image_large_difference,6,6,0,0.092925,0.831249,0.069091,0,0,2,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.040436,0.229994,좌측 그림이 아예 다름,"안내 그림의 넓은 영역에서 구조 차이가 검출됨: area=0.092925, roi_count=6"
15-65,15-65.png,guide_image,guide_image_profile,FAIL,FAIL,FAIL,guide_image_large_difference,6,6,0,0.091567,0.829463,0.069091,0,0,2,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.049395,0.270708,좌측 그림이 아예 다름,"안내 그림의 넓은 영역에서 구조 차이가 검출됨: area=0.091567, roi_count=6"
15-66,15-66.png,guide_image,guide_image_profile,FAIL,FAIL,FAIL,guide_image_large_difference,6,6,0,0.089979,0.837323,0.069091,0,0,2,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.042284,0.257863,좌측 그림이 아예 다름,"안내 그림의 넓은 영역에서 구조 차이가 검출됨: area=0.089979, roi_count=6"
15-67,15-67.png,text_list,text_list_profile,PASS,PASS,PASS,within_tolerance,19,19,0,0.04353,0.904422,-0.224961,0,0,1,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.005854,-0.224961,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
16-17,16-17.png,card_ui,card_ui_profile,PASS,PASS,PASS,within_tolerance,11,11,0,0.029655,0.922324,0.084684,0,0,0,0,0.0,0.0,,0.000822,0.042334,0.003893,0.0,0.005231,0.084684,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
16-19,16-19.png,card_ui,card_ui_profile,PASS,PASS,PASS,within_tolerance,11,11,0,0.029782,0.921392,0.084684,0,0,0,0,0.0,0.0,,0.000822,0.042334,0.004198,0.0,0.005231,0.084684,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
16-4,16-4.png,card_ui,card_ui_profile,PASS,PASS,PASS,within_tolerance,10,10,0,0.029922,0.928968,0.084684,0,0,0,0,0.0,0.0,,0.000156,0.0,0.002765,0.0,0.005231,0.084684,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
18-3,18-3.png,popup,popup_profile,FAIL,FAIL,FAIL,popup_gradient_color_difference,1,1,0,0.181094,0.892283,0.610803,0,0,1,0,0.0,0.0,,0.212448,0.843904,0.0,0.0,0.181094,0.610803,"팝업 그라데이션 색, 게이지 위치, 글씨 전체 위치 다름","팝업의 보라색 그라데이션 영역에서 색 분포 차이가 검출됨: area_delta=0.212448, histogram_distance=0.843904"
18-4,18-4.png,popup,popup_profile,FAIL,FAIL,FAIL,popup_gradient_color_difference,1,1,0,0.181294,0.89181,0.609012,0,0,0,0,0.0,0.0,,0.212201,0.843833,0.0,0.0,0.181294,0.609012,"팝업 그라데이션 색, 게이지 위치, 글씨 전체 위치 다름","팝업의 보라색 그라데이션 영역에서 색 분포 차이가 검출됨: area_delta=0.212201, histogram_distance=0.843833"
18-5,18-5.png,popup,popup_profile,FAIL,FAIL,FAIL,popup_gradient_color_difference,1,1,0,0.167472,0.915255,0.649766,0,0,0,0,0.0,0.0,,0.226245,0.845894,0.0,0.0,0.167472,0.649766,"팝업 그라데이션 색, 게이지 위치, 글씨 전체 위치 다름","팝업의 보라색 그라데이션 영역에서 색 분포 차이가 검출됨: area_delta=0.226245, histogram_distance=0.845894"
2-11,2-11.png,popup,popup_profile,FAIL,FAIL,FAIL,popup_component_presence_difference,1,1,0,0.002495,0.996005,0.08807,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.002495,0.08807,모델 B 기준에서 팝업 버튼 글자 존재 여부 변경,팝업의 버튼 글자·아이콘이 한쪽 화면에만 존재함
2-14,2-14.png,popup,popup_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
2-21,2-21.png,popup,popup_profile,PASS,PASS,PASS,within_tolerance,1,1,0,0.002655,0.980581,0.142321,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.002655,0.142321,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
2-30,2-30.png,popup,popup_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
2-39,2-39.png,popup,popup_profile,PASS,PASS,PASS,within_tolerance,1,1,0,0.016035,0.972627,0.498444,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.016035,0.498444,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
2-40,2-40.png,popup,popup_profile,PASS,PASS,PASS,within_tolerance,1,1,0,0.015964,0.972717,0.500092,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.015964,0.500092,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
2-8,2-8.png,popup,popup_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,모델 B 기준에서 UP 아이콘 존재 여부 변경,차이 ROI가 검출되지 않음
3-1,3-1.png,card_ui,card_ui_profile,PASS,PASS,PASS,within_tolerance,6,6,0,0.045275,0.904622,0.188701,0,1,0,0,0.0,0.0,,0.006401,0.161424,0.000902,0.0,0.024302,0.304049,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
3-2,3-2.png,card_ui,card_ui_profile,PASS,PASS,PASS,within_tolerance,1,1,0,0.023844,0.923072,0.356591,0,0,0,0,0.0,0.0,,0.002004,0.344751,0.043924,0.013145,0.023844,0.356591,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
3-23,3-23.png,card_ui,card_ui_profile,PASS,PASS,PASS,within_tolerance,1,1,0,0.049233,0.900768,0.411217,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.049233,0.411217,움직이는 카드 배경 차이는 검사에서 제외,선택된 카테고리의 PASS 허용 임계값 이내
3-25,3-25.png,card_ui,card_ui_profile,FAIL,FAIL,FAIL,card_ui_chrome_color_difference,1,1,0,0.00238,0.985515,0.732802,0,0,0,0,0.0,0.0,,3.3e-05,0.114808,0.000633,0.002562,0.00238,0.732802,모델 B 기준에서 상단 글자 색상 변경,움직이는 카드 배경을 제외한 상단 UI 글자·탭 색상이 달라짐: color_area=0.002562
3-26,3-26.png,text_list,text_list_profile,PASS,PASS,PASS,within_tolerance,24,24,0,0.017438,0.965452,0.32379,0,0,2,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.002067,0.582592,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
3-27,3-27.png,text_list,text_list_profile,FAIL,FAIL,FAIL,bidirectional_text_presence_difference,1,1,0,0.003812,0.993455,0.071353,0,1,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.003812,0.071353,모델 B 기준에서 선택 메뉴 존재 여부 변경,Reference와 Capture 중 한쪽에만 중요한 텍스트가 존재함: count=1
4-1,4-1.png,setting_control,setting_control_profile,FAIL,FAIL,FAIL,setting_text_brightness_loss,1,1,0,0.001003,0.998972,0.711542,0,0,0,0,0.0,124.0,,0.0,0.0,0.0,0.0,0.001003,0.711542,60°C 글씨 색 희미함,"설정 화면의 국소 글자 밝기가 크게 감소함: roi_count=1, brightness_loss=124.0"
4-20,4-20.png,setting_control,setting_control_profile,PASS,PASS,PASS,within_tolerance,10,10,0,0.0546,0.905211,0.152828,0,0,0,0,0.0,0.0,,0.0,0.0,0.008906,0.0,0.0163,0.627912,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
4-3,4-3.png,setting_control,setting_control_profile,FAIL,FAIL,FAIL,setting_chromatic_color_difference,0,0,0,0.0,0.999997,1.0,0,0,0,0,0.0,0.0,,0.0,0.0,0.00222,0.0,0.0,1.0,모델 B 기준에서 선택 글자 색상 변경,흑백 밝기는 비슷하지만 설정 글자·선택값의 색상이 달라짐: color_area=0.00222
4-43,4-43.png,setting_control,setting_control_profile,PASS,PASS,PASS,within_tolerance,10,10,0,0.0546,0.90579,0.152828,0,0,0,0,0.0,0.0,,0.0,0.0,0.007848,0.0,0.0163,0.627912,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
4-8,4-8.png,setting_control,setting_control_profile,FAIL,FAIL,FAIL,bidirectional_text_presence_difference,1,1,0,0.003582,0.994052,0.089631,0,1,0,0,0.0,255.0,,0.0,0.0,0.0,0.0,0.003582,0.089631,상단 좌측 글씨 아예 빠짐,Reference와 Capture 중 한쪽에만 중요한 텍스트가 존재함: count=1
4-9,4-9.png,setting_control,setting_control_profile,FAIL,FAIL,FAIL,bidirectional_text_presence_difference,1,1,0,0.003582,0.994052,0.089631,0,1,0,0,0.0,255.0,,0.0,0.0,0.0,0.0,0.003582,0.089631,상단 좌측 글씨 아예 빠짐,Reference와 Capture 중 한쪽에만 중요한 텍스트가 존재함: count=1
5-22,5-22.png,popup,popup_profile,PASS,PASS,PASS,within_tolerance,2,2,0,0.007752,0.986078,0.141483,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.006138,0.141483,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
5-24,5-24.png,popup,popup_profile,PASS,PASS,PASS,within_tolerance,2,2,0,0.007752,0.986078,0.141483,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.006138,0.141483,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
7-12,7-12.png,card_ui,card_ui_profile,PASS,PASS,PASS,within_tolerance,1,1,0,0.023215,0.926423,0.386041,0,0,0,0,0.0,0.0,,0.002118,0.345619,0.043429,0.013145,0.023215,0.386041,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
7-5,7-5.png,card_ui,card_ui_profile,PASS,PASS,PASS,within_tolerance,6,6,0,0.045078,0.911587,0.245126,0,1,0,0,0.0,0.0,,0.00638,0.160959,0.000902,0.0,0.024302,0.304049,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
8-1,8-1.png,status_time,status_time_profile,PASS,PASS,PASS,within_tolerance,2,2,0,0.006676,0.986705,0.214317,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.004759,0.214317,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
8-10,8-10.png,status_time,status_time_profile,PASS,PASS,PASS,within_tolerance,8,8,0,0.044666,0.930072,0.177331,0,0,1,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.032388,0.381912,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
8-3,8-3.png,status_time,status_time_profile,FAIL,FAIL,FAIL,bidirectional_text_presence_difference,1,1,0,0.006566,0.989135,0.136107,0,1,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.006566,0.136107,모델 B 기준에서 상태 문구 존재 여부 변경,Reference와 Capture 중 한쪽에만 중요한 텍스트가 존재함: count=1
8-7,8-7.png,status_time,status_time_profile,FAIL,FAIL,FAIL,status_localized_blur_difference,1,1,0,0.012658,0.979933,0.089051,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.012658,0.089051,모델 B 기준에서 상태 문구 흐림 발생,상태 문구가 한쪽 화면에서 현저하게 흐려짐
