screen_id,file_name,category,profile,expected_result,final_status,diff_roi_count,pass_roi_count,review_roi_count,fail_roi_count,total_diff_area_ratio,is_loading_like,memo,final_reasons
2-40,2-40.png,popup,popup_profile,PASS,PASS,1,0,1,0,0.015964,False,사람 기준 통과 가능,팝업 화면의 허용 가능한 위치/렌더링 차이로 자동 PASS
2-8,2-8.png,popup,popup_profile,PASS,PASS,0,0,0,0,0.0,False,사람 기준 통과 가능,차이 ROI가 검출되지 않음
3-1,3-1.png,card_ui,card_ui_profile,PASS,PASS,6,0,6,0,0.045275,False,사람 기준 통과 가능,카드 UI의 분산형 위치/렌더링 차이로 자동 PASS
3-2,3-2.png,card_ui,card_ui_profile,PASS,REVIEW,1,0,1,0,0.023844,False,사람 기준 통과 가능,REVIEW ROI 1개 존재 | 카드 UI에서 적은 ROI지만 면적이 커 글씨/사진 차이 가능성으로 REVIEW 유지
3-23,3-23.png,card_ui,card_ui_profile,REVIEW,REVIEW,1,0,1,0,0.049233,False,중앙 사진 위치 상하 반전,REVIEW ROI 1개 존재 | 카드 UI에서 적은 ROI지만 면적이 커 글씨/사진 차이 가능성으로 REVIEW 유지
3-25,3-25.png,card_ui,card_ui_profile,PASS,PASS,1,0,1,0,0.00238,False,사람 기준 통과 가능,카드 UI의 매우 작은 단일 위치/렌더링 차이로 자동 PASS
3-26,3-26.png,text_list,text_list_profile,PASS,REVIEW,24,0,22,2,0.017438,False,사람 기준 통과 가능,FAIL ROI 2개가 있으나 텍스트/설정/상태 화면의 OCR·SSIM 오탐 가능성으로 REVIEW 처리
3-27,3-27.png,text_list,text_list_profile,PASS,PASS,0,0,0,0,0.0,False,사람 기준 통과 가능,차이 ROI가 검출되지 않음
4-1,4-1.png,setting_control,setting_control_profile,REVIEW,REVIEW,1,0,1,0,0.001003,False,60 C 색 희미함,REVIEW ROI 1개 존재 | 설정 화면은 자동 PASS 기준에 해당하지 않음
4-20,4-20.png,setting_control,setting_control_profile,PASS,PASS,10,0,10,0,0.0546,False,사람 기준 통과 가능,설정 화면의 분산형 위치/렌더링 차이로 자동 PASS
4-3,4-3.png,setting_control,setting_control_profile,PASS,PASS,0,0,0,0,0.0,False,사람 기준 통과 가능,차이 ROI가 검출되지 않음
4-43,4-43.png,setting_control,setting_control_profile,PASS,PASS,10,0,10,0,0.0546,False,사람 기준 통과 가능,설정 화면의 분산형 위치/렌더링 차이로 자동 PASS
4-8,4-8.png,setting_control,setting_control_profile,FAIL,FAIL,1,0,1,0,0.003582,False,상단 좌측 글씨 아예 빠짐,"설정 화면에서 기준 텍스트 누락 가능성 감지: missing_text_count=1, area=0.003582"
4-9,4-9.png,setting_control,setting_control_profile,FAIL,FAIL,1,0,1,0,0.003582,False,상단 좌측 글씨 아예 빠짐,"설정 화면에서 기준 텍스트 누락 가능성 감지: missing_text_count=1, area=0.003582"
5-22,5-22.png,popup,popup_profile,PASS,PASS,2,0,2,0,0.007752,False,사람 기준 통과 가능,팝업 화면의 허용 가능한 위치/렌더링 차이로 자동 PASS
5-24,5-24.png,popup,popup_profile,PASS,PASS,2,0,2,0,0.007752,False,사람 기준 통과 가능,팝업 화면의 허용 가능한 위치/렌더링 차이로 자동 PASS
7-12,7-12.png,card_ui,card_ui_profile,PASS,REVIEW,1,0,1,0,0.023215,False,사람 기준 통과 가능,REVIEW ROI 1개 존재 | 카드 UI에서 적은 ROI지만 면적이 커 글씨/사진 차이 가능성으로 REVIEW 유지
7-5,7-5.png,card_ui,card_ui_profile,PASS,PASS,6,0,6,0,0.045078,False,사람 기준 통과 가능,카드 UI의 분산형 위치/렌더링 차이로 자동 PASS
8-1,8-1.png,status_time,status_time_profile,PASS,PASS,2,0,2,0,0.006676,False,사람 기준 통과 가능,상태/시간 화면의 매우 작은 위치/렌더링 차이로 자동 PASS
