screen_id,file_name,category,profile,expected_result,expected_binary_result,final_status,applied_rule,diff_roi_count,pass_roi_count,fail_roi_count,total_diff_area_ratio,overall_ssim,minimum_roi_ssim,confirmed_missing_text_count,high_confidence_text_mismatch_count,high_confidence_spacing_mismatch_count,matched_text_brightness_loss,localized_text_brightness_loss,progress_bar_fill_delta,gradient_smooth_color_area_delta,gradient_color_histogram_distance,memo,final_reasons
15-51,15-51.png,text_list,text_list_profile,PASS,PASS,PASS,within_tolerance,7,7,0,0.009268,0.980927,0.097597,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
15-62,15-62.png,text_list,text_list_profile,FAIL,FAIL,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,글씨 밝기 희미함,차이 ROI가 검출되지 않음
15-63,15-63.png,guide_image,guide_image_profile,FAIL,FAIL,FAIL,guide_image_large_difference,6,6,0,0.090975,0.834099,0.069091,0,2,0,0.0,0.0,,0.0,0.0,좌측 그림이 아예 다름,"안내 그림의 넓은 영역에서 구조 차이가 검출됨: area=0.090975, roi_count=6"
15-64,15-64.png,guide_image,guide_image_profile,FAIL,FAIL,FAIL,guide_image_large_difference,6,6,0,0.092925,0.831249,0.069091,0,2,0,0.0,0.0,,0.0,0.0,좌측 그림이 아예 다름,"안내 그림의 넓은 영역에서 구조 차이가 검출됨: area=0.092925, roi_count=6"
15-65,15-65.png,guide_image,guide_image_profile,FAIL,FAIL,FAIL,guide_image_large_difference,6,6,0,0.091567,0.829463,0.069091,0,2,0,0.0,0.0,,0.0,0.0,좌측 그림이 아예 다름,"안내 그림의 넓은 영역에서 구조 차이가 검출됨: area=0.091567, roi_count=6"
15-66,15-66.png,guide_image,guide_image_profile,FAIL,FAIL,FAIL,guide_image_large_difference,6,6,0,0.089979,0.837323,0.069091,0,2,0,0.0,0.0,,0.0,0.0,좌측 그림이 아예 다름,"안내 그림의 넓은 영역에서 구조 차이가 검출됨: area=0.089979, roi_count=6"
15-67,15-67.png,text_list,text_list_profile,PASS,PASS,PASS,within_tolerance,19,19,0,0.04353,0.904422,-0.224961,0,1,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
16-17,16-17.png,card_ui,card_ui_profile,PASS,PASS,PASS,within_tolerance,11,11,0,0.029655,0.922324,0.084684,0,0,0,0.0,0.0,,0.000822,0.042334,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
16-19,16-19.png,card_ui,card_ui_profile,PASS,PASS,PASS,within_tolerance,11,11,0,0.029782,0.921392,0.084684,0,0,0,0.0,0.0,,0.000822,0.042334,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
16-4,16-4.png,card_ui,card_ui_profile,PASS,PASS,PASS,within_tolerance,10,10,0,0.029922,0.928968,0.084684,0,0,0,0.0,0.0,,0.000156,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
18-3,18-3.png,popup,popup_profile,FAIL,FAIL,FAIL,popup_gradient_color_difference,1,1,0,0.181094,0.892283,0.610803,0,1,0,0.0,0.0,,0.212448,0.843904,"팝업 그라데이션 색, 게이지 위치, 글씨 전체 위치 다름","팝업의 보라색 그라데이션 영역에서 색 분포 차이가 검출됨: area_delta=0.212448, histogram_distance=0.843904"
18-4,18-4.png,popup,popup_profile,FAIL,FAIL,FAIL,popup_gradient_color_difference,1,1,0,0.181294,0.89181,0.609012,0,0,0,0.0,0.0,,0.212201,0.843833,"팝업 그라데이션 색, 게이지 위치, 글씨 전체 위치 다름","팝업의 보라색 그라데이션 영역에서 색 분포 차이가 검출됨: area_delta=0.212201, histogram_distance=0.843833"
18-5,18-5.png,popup,popup_profile,FAIL,FAIL,FAIL,popup_gradient_color_difference,1,1,0,0.167472,0.915255,0.649766,0,0,0,0.0,0.0,,0.226245,0.845894,"팝업 그라데이션 색, 게이지 위치, 글씨 전체 위치 다름","팝업의 보라색 그라데이션 영역에서 색 분포 차이가 검출됨: area_delta=0.226245, histogram_distance=0.845894"
2-11,2-11.png,popup,popup_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
2-14,2-14.png,popup,popup_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
2-21,2-21.png,popup,popup_profile,PASS,PASS,PASS,within_tolerance,1,1,0,0.002655,0.980581,0.142321,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
2-30,2-30.png,popup,popup_profile,PASS,PASS,PASS,no_difference,0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,차이 ROI가 검출되지 않음
2-39,2-39.png,popup,popup_profile,PASS,PASS,PASS,within_tolerance,1,1,0,0.016035,0.972627,0.498444,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
2-40,2-40.png,popup,popup_profile,PASS,PASS,PASS,within_tolerance,1,1,0,0.015964,0.972717,0.500092,0,0,0,0.0,0.0,,0.0,0.0,사람 기준 통과 가능,선택된 카테고리의 PASS 허용 임계값 이내
